Year,Total,Total_Male,Total_Female,White_Total,Black_Total,Hispanic_Total,API_Total,AIAN_Total,Other_notAIAN_Total
2013,5,,,,,,,,
2013,42,10,31,37,,,,,
2013,5,,,5,,,,,
2013,20,8,12,18,,,,,
2013,14,5,9,10,,,,,
2013,,,,,,,,,
2013,27,14,13,22,,5,,,
2013,37,17,20,28,,7,,,
2013,48,17,30,41,,,,,
2013,238,83,155,209,,13,12,,
2013,41,11,30,37,,,,,
2013,39,15,24,29,,,5,,
2013,43,15,28,39,,,,,
2013,65,20,44,55,,6,,,
2013,,,,,,,,,
2013,27,8,19,26,,,,,
2013,33,19,13,30,,,,,
2013,195,80,115,176,,9,8,,
2013,61,24,37,56,,,,,
2013,10,6,,8,,,,,
2013,41,17,24,36,,,,,
2013,,,,,,,,,
2013,55,26,29,52,,,,,
2013,36,13,23,31,,,,,
2013,266,110,156,226,,18,19,,
2013,,,,,,,,,
2013,80,30,49,67,,7,,,
2013,19,9,9,17,,,,,
2013,58,22,36,45,,5,7,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,10,,6,10,,,,,
2013,32,17,15,28,,,,,
2013,7,,,6,,,,,
2013,119,66,53,58,,48,10,,
2013,35,20,15,19,,13,,,
2013,10,8,,10,,,,,
2013,15,8,8,,,10,,,
2013,23,14,9,5,,14,,,
2013,32,15,17,18,,10,,,
2013,144,76,68,69,5,57,13,,
2013,29,15,14,23,,5,,,
2013,323,125,199,275,6,25,12,,
2013,263,108,155,222,,18,20,,
2013,221,78,144,164,16,21,16,,
2013,212,93,119,189,,10,11,,
2013,57,22,34,53,,,,,
2013,62,32,30,33,,22,,,
2013,10,8,,10,,,,,
2013,,,,,,,,,
2013,7,,6,5,,,,,
2013,53,21,32,45,,,,,
2013,36,15,21,35,,,,,
2013,72,26,46,61,,7,,,
2013,,,,,,,,,
2013,40,10,31,36,,,,,
2013,13,5,8,10,,,,,
2013,16,8,8,,,10,,,
2013,46,20,26,40,,,,,
2013,39,15,24,33,,,,,
2013,438,171,267,323,21,51,39,,
2013,27,16,11,25,,,,,
2013,30,10,21,25,,,,,
2013,182,77,104,151,,19,9,,
2013,635,271,364,446,38,83,27,,33
